Job_title,Company,Location,Experience,Key_skills,Job_post,Rating
Data Engineer,Accenture,Pune,7-11 Yrs,"data engineer, data analytics, data pipelines, databricks, microsoft azure, pyspark, ATCI-5256588-S1926660, collection",6 days ago,3.7
Data Governance Analyst,Barclaycard Payments,Pune,3-6 Yrs,"digital, risk management, python, data analytics, data analysis, data management, management skills, business strategy",6 days ago,3.8
Data Analyst,KGK Group,Surat,1-3 Yrs,"Tableau, Power Bi, VLOOKUP, Formulas, Data Visualization, Data Extraction, Advanced Excel, Dashboards",6 days ago,3.4
Data Engineer,Accenture,Pune,5-10 Yrs,"data engineer, data analytics, data pipelines, databricks, microsoft azure, pyspark, collection, analytics",6 days ago,3.7
Data Engineer,Accenture,Gurugram,3-8 Yrs,"data engineer, data analytics, oracle, data pipelines, ai, databricks, cloud platforms, data engineering",6 days ago,3.7
Data Engineer,Accenture,Hyderabad,3-8 Yrs,"data engineer, python, data analytics, data pipelines, scala, databricks, data warehousing, cloud platforms",6 days ago,3.7
Data Engineer,Accenture,Chennai,3-8 Yrs,"data engineer, python, etl tools, data analytics, data management, data pipelines, scala, databricks",6 days ago,3.7
Data Engineer,Accenture,Bengaluru,5-10 Yrs,"kubernetes, data analytics, docker, cloud architecture, terraform, hive, python, cloud security",1 week ago,3.7
Data Engineer,Accenture,Bengaluru,3-8 Yrs,"data engineer, python, etl tools, data analytics, data management, data pipelines, scala, data processing",1 week ago,3.7
Data Engineer,Accenture,Pune,3-8 Yrs,"data pipelines, data engineer, ATCI-5230531-S1920822, python, data analytics, scala, data processing, databricks",1 week ago,3.7
Data Engineer,Accenture,Mumbai,3-8 Yrs,"data engineer, data operations, data analytics, data pipelines, information management, technical, databricks, cloud platforms",1 week ago,3.7
Data Engineer,Accenture,Navi Mumbai,5-10 Yrs,"data engineer, s3, kubernetes, python, data analytics, regression testing, airflow, databricks",1 week ago,3.7
Data Engineer,Accenture,Navi Mumbai,5-10 Yrs,"data engineer, kubernetes, regression testing, sql, docker, git, spark, gcp",1 week ago,3.7
Data Engineer,Accenture,Navi Mumbai,5-10 Yrs,"data engineer, kubernetes, regression testing, sql, docker, git, spark, gcp",1 week ago,3.7
Data Engineer,Accenture,Navi Mumbai,5-10 Yrs,"data engineer, kubernetes, regression testing, sql, docker, ATCI-5258584-S1930236, git, spark",1 week ago,3.7
Data Engineer,Accenture,Navi Mumbai,5-10 Yrs,"data engineer, kubernetes, regression testing, sql, docker, git, spark, gcp",1 week ago,3.7
"Engineer, Data Development (SSIS, SQL)",Transunion,Chennai,3-5 Yrs,"Coding, Process improvement, SSRS, Agile, Data analytics, Stored procedures, Unit testing, SSIS",1 week ago,3.6
Data Analyst,Creditas Solutions,Gurugram,1-4 Yrs,"Excel, SQL, Python, Data Analytics, Data analysis, Analytics, Data",1 week ago,2.8
Data Analyst,Capgemini,"Hybrid - Chennai, Delhi / NCR, Mumbai (All Areas)",4-9 Yrs,"Power Bi, Data Analysis, Data Visualization, Tableau, Data Analytics, SQL, Analytics, Analysis",6 days ago,3.7
Data Engineer,Accenture,Bengaluru,2-4 Yrs,"data engineer, sql, redshift, spark, gcp, devops, debugging, json",5 days ago,3.7
Data Engineer,Accenture,Bengaluru,2-4 Yrs,"data engineer, ATCI-5207505-S1911222, sql, redshift, spark, gcp, devops, debugging",5 days ago,3.7
Data Engineer,Accenture,Bengaluru,2-4 Yrs,"data engineer, sql, redshift, spark, gcp, devops, debugging, json",5 days ago,3.7
Data Engineer,Accenture,Bengaluru,2-4 Yrs,"data engineer, sql, redshift, spark, gcp, devops, debugging, json",5 days ago,3.7
Data Engineer,Accenture,Pune,5-10 Yrs,"data engineer, data analytics, data pipelines, databricks, microsoft azure, pyspark, collection, analytics",6 days ago,3.7
Data Engineer,Accenture,Pune,5-10 Yrs,"data engineer, data analytics, ATCI-5256587-S1926657, data pipelines, databricks, microsoft azure, pyspark, collection",6 days ago,3.7
